财报类型,股票代码,上市公司,年报,年报,年报,年报,年报,年报,年报,年报,年报
期末现金及现金等价物净余额,="000333",="美的集团",=55118728000,=59887260000,=51131968000,=40550039000,=23548508000,=30441760000,=17952282000,=21831653000,=12513730000
附注,,,,,,,,,,,
净利润,="000651",="格力电器",=32371069287,=27719022914,=23011344353,=22831893633,=22279242195,=24827243604,=26379029817,=22508599044,=15524634904
净利润,="000333",="美的集团",=38757214000,=33745352000,=29810231000,=29015376000,=27506542000,=25277144000,=21650419000,=18611190000,=15861912000
加：资产减值准备,="000651",="格力电器",=1209251820,=3317624806,=1383047783,=757142125,=273445629,=1122341886,=261674177,=263787002,=-991560
加：资产减值准备,="000333",="美的集团",=1008107000,=439777000,=533363000,=483420000,=705209000,=871909000,=447864000,=269112000,=380812000
信用减值损失,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
信用减值损失,="000333",="美的集团",=4595000,=198624000,=513686000,=383451000,=247605000,=0,=0,=0,=0
固定资产折旧、油气资产折耗、生产性生物资产折旧,="000651",="格力电器",=4811341435,=4808144625,=4597938792,=3476137137,=3377378887,=2977103353,=2859799548,=1947939762,=1734645268
固定资产折旧、油气资产折耗、生产性生物资产折旧,="000333",="美的集团",=7823840000,=7348921000,=6507920000,=6182852000,=5020256000,=5168262000,=4817456000,=6695877000,=3578000000
投资性房地产的折旧及摊销,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
投资性房地产的折旧及摊销,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
使用权资产摊销,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
使用权资产摊销,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
无形资产摊销,="000651",="格力电器",=445567650,=475186592,=372007225,=168287721,=211327447,=215796438,=249550270,=84703932,=73307470
无形资产摊销,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
长期待摊费用摊销,="000651",="格力电器",=0,=0,=0,=0,=0,=1519449,=979455,=355829,=8722728
长期待摊费用摊销,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
处置固定资产、无形资产和其他长期资产的损失,="000651",="格力电器",=-16965091,=-382923792,=-608426,=-6212295,=-2945975,=0,=-636629,=1022346,=12245120
处置固定资产、无形资产和其他长期资产的损失,="000333",="美的集团",=-214895000,=0,=59854000,=-58257000,=60523000,=131131000,=0,=-1327251000,=111874000
固定资产报废损失,="000651",="格力电器",=115582653,=54190130,=53229011,=15960757,=7920200,=14205160,=23701565,=7440716,=0
固定资产报废损失,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
公允价值变动损失,="000651",="格力电器",=273975504,=-437583989,=343575705,=58130545,=-200153472,=0,=-46257425,=-9212504,=-1093332135
公允价值变动损失,="000333",="美的集团",=-1302145000,=226492000,=251171000,=166406000,=-1762950000,=-1361163000,=810450000,=25045000,=-117376000
财务费用,="000651",="格力电器",=-3108257855,=-3910047956,=-3022815788,=-2206918302,=-3117118954,=-4096866714,=-1112658685,=1532766275,=-3245961681
财务费用,="000333",="美的集团",=-4025866000,=-3134637000,=-3226913000,=-3119978000,=-1714530000,=-2847411000,=-1265831000,=32845000,=-648949000
投资损失,="000651",="格力电器",=-765303512,=-217156605,=-86883942,=-522063223,=-713010072,=226634781,=-106768935,=-396648138,=2221356325
投资损失,="000333",="美的集团",=-1442940000,=-463561000,=-208054000,=-2365773000,=-2362462000,=-164132000,=-907326000,=-1830221000,=-1285961000
递延所得税资产减少,="000651",="格力电器",=-1100364409,=-1966236836,=-897724578,=-201498430,=993661744,=0,=-472601784,=-1155397827,=-909857443
递延所得税资产减少,="000333",="美的集团",=-1556421000,=-1865724000,=-1896424000,=-779754000,=-1424584000,=-1347604000,=-360724000,=-635894000,=-760228000
递延所得税负债增加,="000651",="格力电器",=-68885485,=585516093,=192514498,=220437932,=290136496,=0,=115790794,=128934696,=87552077
递延所得税负债增加,="000333",="美的集团",=64839000,=-65601000,=-424557000,=-647495000,=625273000,=149942000,=478982000,=-1055005000,=-61501000
存货的减少,="000651",="格力电器",=4545947127,=3656838547,=5509950724,=-13233904717,=-3734232466,=-4049893387,=-3003461177,=-7583437386,=421521791
存货的减少,="000333",="美的集团",=-15794154000,=206064000,=-423933000,=-15201834000,=-1803072000,=-2670712000,=-77387000,=-7730304000,=-3741683000
经营性应收项目的减少,="000651",="格力电器",=-512406906,=12312109489,=6522203497,=-2983553412,=15242828007,=-3656032332,=-10631225706,=-7844171074,=-5230038952
经营性应收项目的减少,="000333",="美的集团",=-14349722000,=-9747941000,=-19423895000,=-5453539000,=-16538695000,=-1445679000,=-17867374000,=-10314517000,=-841862000
经营性应付项目的增加,="000651",="格力电器",=-7735915199,=15003082210,=-10082543300,=-7479006628,=-18480942048,=19142521382,=6728841135,=9710075219,=4723681136
经营性应付项目的增加,="000333",="美的集团",=50345636000,=29692141000,=21556429000,=24908660000,=19916109000,=15916673000,=19226732000,=20860180000,=13673057000
其他,="000651",="格力电器",=-1095386448,=-4619339874,=773200367,=999530415,=2811099692,=-7349808732,=5695035124,=-2838219645,=532467061
其他,="000333",="美的集团",=1193484000,=0,=1028950000,=1578169000,=1081893000,=912044000,=907819000,=841566000,=546914000
一年内到期的可转换公司债券,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
一年内到期的可转换公司债券,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
融资租入固定资产,="000651",="格力电器",=0,=0,=0,=0,=0,=0,=0,=0,=0
融资租入固定资产,="000333",="美的集团",=0,=0,=0,=0,=0,=0,=0,=0,=0
经营活动产生的现金流量净额,="000651",="格力电器",=29369250571,=56398426354,=28668435921,=1894363259,=19238637309,=27893714094,=26940791543,=16358538248,=14859952107
经营活动产生的现金流量净额,="000333",="美的集团",=60511572000,=57902611000,=34657828000,=35091704000,=29557117000,=38590404000,=27861080000,=24442623000,=26695009000

数据来源于：理杏仁网站(lixinger.com)
